Side,Type,Metric,Value,relation_id,relation_label,model
head,optimistic,adjusted_arithmetic_mean_rank,0.7420041882840706,0,P31,complex
tail,optimistic,adjusted_arithmetic_mean_rank,0.035009512921240694,0,P31,complex
both,optimistic,adjusted_arithmetic_mean_rank,0.38850103237392825,0,P31,complex
head,realistic,adjusted_arithmetic_mean_rank,0.7420042190743,0,P31,complex
tail,realistic,adjusted_arithmetic_mean_rank,0.035009525015985934,0,P31,complex
both,realistic,adjusted_arithmetic_mean_rank,0.38850106840930737,0,P31,complex
head,pessimistic,adjusted_arithmetic_mean_rank,0.742004286812805,0,P31,complex
tail,pessimistic,adjusted_arithmetic_mean_rank,0.035009539833296105,0,P31,complex
both,pessimistic,adjusted_arithmetic_mean_rank,0.3885010950937337,0,P31,complex
head,optimistic,count,910.0,0,P31,complex
tail,optimistic,count,910.0,0,P31,complex
both,optimistic,count,1820.0,0,P31,complex
head,realistic,count,910.0,0,P31,complex
tail,realistic,count,910.0,0,P31,complex
both,realistic,count,1820.0,0,P31,complex
head,pessimistic,count,910.0,0,P31,complex
tail,pessimistic,count,910.0,0,P31,complex
both,pessimistic,count,1820.0,0,P31,complex
head,optimistic,standard_deviation,1453963.1131703665,0,P31,complex
tail,optimistic,standard_deviation,333591.5166146165,0,P31,complex
both,optimistic,standard_deviation,1355679.1817885307,0,P31,complex
head,realistic,standard_deviation,1453963.125,0,P31,complex
tail,realistic,standard_deviation,333591.59375,0,P31,complex
both,realistic,standard_deviation,1355679.125,0,P31,complex
head,pessimistic,standard_deviation,1453963.1946684911,0,P31,complex
tail,pessimistic,standard_deviation,333591.7049631803,0,P31,complex
both,pessimistic,standard_deviation,1355679.3028536427,0,P31,complex
head,optimistic,adjusted_geometric_mean_rank_index,0.5261122880745881,0,P31,complex
tail,optimistic,adjusted_geometric_mean_rank_index,0.9998986769549119,0,P31,complex
both,optimistic,adjusted_geometric_mean_rank_index,0.9930500596750387,0,P31,complex
head,realistic,adjusted_geometric_mean_rank_index,0.5261125143004042,0,P31,complex
