Side,Type,Metric,Value,relation_id,relation_label,model
head,optimistic,adjusted_arithmetic_mean_rank_index,0.6969646517103201,0,P31,distmult
tail,optimistic,adjusted_arithmetic_mean_rank_index,0.9866185464319827,0,P31,distmult
both,optimistic,adjusted_arithmetic_mean_rank_index,0.8417939827854417,0,P31,distmult
head,realistic,adjusted_arithmetic_mean_rank_index,0.6969646249684245,0,P31,distmult
tail,realistic,adjusted_arithmetic_mean_rank_index,0.9866185434332401,0,P31,distmult
both,realistic,adjusted_arithmetic_mean_rank_index,0.84179396345633,0,P31,distmult
head,pessimistic,adjusted_arithmetic_mean_rank_index,0.6969646193235467,0,P31,distmult
tail,pessimistic,adjusted_arithmetic_mean_rank_index,0.9866185395899318,0,P31,distmult
both,pessimistic,adjusted_arithmetic_mean_rank_index,0.8417939631712398,0,P31,distmult
head,optimistic,z_geometric_mean_rank,26.232628982191564,0,P31,distmult
tail,optimistic,z_geometric_mean_rank,30.191383700781635,0,P31,distmult
both,optimistic,z_geometric_mean_rank,42.652728318028,0,P31,distmult
head,realistic,z_geometric_mean_rank,26.23262957974513,0,P31,distmult
tail,realistic,z_geometric_mean_rank,30.19138370078676,0,P31,distmult
both,realistic,z_geometric_mean_rank,42.6527283031001,0,P31,distmult
head,pessimistic,z_geometric_mean_rank,26.23262827436625,0,P31,distmult
tail,pessimistic,z_geometric_mean_rank,30.191383700777568,0,P31,distmult
both,pessimistic,z_geometric_mean_rank,42.65272831502508,0,P31,distmult
head,optimistic,inverse_arithmetic_mean_rank,1.3697989838957581e-06,0,P31,distmult
tail,optimistic,inverse_arithmetic_mean_rank,3.101841958970675e-05,0,P31,distmult
both,optimistic,inverse_arithmetic_mean_rank,2.6237318078779766e-06,0,P31,distmult
head,realistic,inverse_arithmetic_mean_rank,1.3697988379135495e-06,0,P31,distmult
tail,realistic,inverse_arithmetic_mean_rank,3.10184113914147e-05,0,P31,distmult
both,realistic,inverse_arithmetic_mean_rank,2.6237314614263596e-06,0,P31,distmult
head,pessimistic,inverse_arithmetic_mean_rank,1.3697988374992932e-06,0,P31,distmult
tail,pessimistic,inverse_arithmetic_mean_rank,3.1018403730225514e-05,0,P31,distmult
both,pessimistic,inverse_arithmetic_mean_rank,2.623731482591588e-06,0,P31,distmult
head,optimistic,adjusted_inverse_harmonic_mean_rank,0.000493397876649719,0,P31,distmult
tail,optimistic,adjusted_inverse_harmonic_mean_rank,0.6638154150319144,0,P31,distmult
both,optimistic,adjusted_inverse_harmonic_mean_rank,0.3321544064712376,0,P31,distmult
head,realistic,adjusted_inverse_harmonic_mean_rank,0.0004933978689632666,0,P31,distmult
tail,realistic,adjusted_inverse_harmonic_mean_rank,0.6638153380982594,0,P31,distmult
both,realistic,adjusted_inverse_harmonic_mean_rank,0.33215438566665045,0,P31,distmult
head,pessimistic,adjusted_inverse_harmonic_mean_rank,0.0004933978738819901,0,P31,distmult
tail,pessimistic,adjusted_inverse_harmonic_mean_rank,0.6638154150315476,0,P31,distmult
both,pessimistic,adjusted_inverse_harmonic_mean_rank,0.33215440646967037,0,P31,distmult
head,optimistic,geometric_mean_rank,232545.73822576704,0,P31,distmult
tail,optimistic,geometric_mean_rank,5.367397609174986,0,P31,distmult
both,optimistic,geometric_mean_rank,1117.2132470467818,0,P31,distmult
head,realistic,geometric_mean_rank,232545.703125,0,P31,distmult
tail,realistic,geometric_mean_rank,5.367397308349609,0,P31,distmult
both,realistic,geometric_mean_rank,1117.2138671875,0,P31,distmult
head,pessimistic,geometric_mean_rank,232545.77980398352,0,P31,distmult
tail,pessimistic,geometric_mean_rank,5.367397848156654,0,P31,distmult
both,pessimistic,geometric_mean_rank,1117.213371795116,0,P31,distmult
head,optimistic,adjusted_arithmetic_mean_rank,0.3030356375982492,0,P31,distmult
tail,optimistic,adjusted_arithmetic_mean_rank,0.013381863097831327,0,P31,distmult
both,optimistic,adjusted_arithmetic_mean_rank,0.1582063666357288,0,P31,distmult
head,realistic,adjusted_arithmetic_mean_rank,0.3030356643401337,0,P31,distmult
tail,realistic,adjusted_arithmetic_mean_rank,0.013381866096572671,0,P31,distmult
both,realistic,adjusted_arithmetic_mean_rank,0.1582063859648325,0,P31,distmult
head,pessimistic,adjusted_arithmetic_mean_rank,0.3030356699850091,0,P31,distmult
tail,pessimistic,adjusted_arithmetic_mean_rank,0.013381869939879313,0,P31,distmult
both,pessimistic,adjusted_arithmetic_mean_rank,0.15820638624992253,0,P31,distmult
head,optimistic,count,910.0,0,P31,distmult
tail,optimistic,count,910.0,0,P31,distmult
both,optimistic,count,1820.0,0,P31,distmult
head,realistic,count,910.0,0,P31,distmult
tail,realistic,count,910.0,0,P31,distmult
both,realistic,count,1820.0,0,P31,distmult
head,pessimistic,count,910.0,0,P31,distmult
tail,pessimistic,count,910.0,0,P31,distmult
both,pessimistic,count,1820.0,0,P31,distmult
