Side,Type,Metric,Value,relation_id,relation_label,model
head,optimistic,geometric_mean_rank,1241154.9723378872,0,P31,simple
tail,optimistic,geometric_mean_rank,403.8801911712797,0,P31,simple
both,optimistic,geometric_mean_rank,22389.23642067792,0,P31,simple
head,realistic,geometric_mean_rank,1241154.25,0,P31,simple
tail,realistic,geometric_mean_rank,403.8803405761719,0,P31,simple
both,realistic,geometric_mean_rank,22389.234375,0,P31,simple
head,pessimistic,geometric_mean_rank,1241155.3685142864,0,P31,simple
tail,pessimistic,geometric_mean_rank,403.88044994841,0,P31,simple
both,pessimistic,geometric_mean_rank,22389.247166696696,0,P31,simple
head,optimistic,adjusted_arithmetic_mean_rank,0.7887592584800257,0,P31,simple
tail,optimistic,adjusted_arithmetic_mean_rank,0.036825967188653275,0,P31,simple
both,optimistic,adjusted_arithmetic_mean_rank,0.41278642478225236,0,P31,simple
head,realistic,adjusted_arithmetic_mean_rank,0.7887593946412628,0,P31,simple
tail,realistic,adjusted_arithmetic_mean_rank,0.03682598231243018,0,P31,simple
both,realistic,adjusted_arithmetic_mean_rank,0.4127865166382584,0,P31,simple
head,pessimistic,adjusted_arithmetic_mean_rank,0.7887594961349822,0,P31,simple
tail,pessimistic,adjusted_arithmetic_mean_rank,0.03682599683752788,0,P31,simple
both,pessimistic,adjusted_arithmetic_mean_rank,0.4127865584324561,0,P31,simple
head,optimistic,count,910.0,0,P31,simple
tail,optimistic,count,910.0,0,P31,simple
both,optimistic,count,1820.0,0,P31,simple
head,realistic,count,910.0,0,P31,simple
tail,realistic,count,910.0,0,P31,simple
both,realistic,count,1820.0,0,P31,simple
head,pessimistic,count,910.0,0,P31,simple
tail,pessimistic,count,910.0,0,P31,simple
both,pessimistic,count,1820.0,0,P31,simple
head,optimistic,standard_deviation,1294275.0627942353,0,P31,simple
tail,optimistic,standard_deviation,405327.6438285496,0,P31,simple
both,optimistic,standard_deviation,1319114.6578419777,0,P31,simple
head,realistic,standard_deviation,1294275.25,0,P31,simple
tail,realistic,standard_deviation,405327.75,0,P31,simple
both,realistic,standard_deviation,1319114.875,0,P31,simple
head,pessimistic,standard_deviation,1294275.3380839378,0,P31,simple
tail,pessimistic,standard_deviation,405327.8696153205,0,P31,simple
both,pessimistic,standard_deviation,1319114.99961584,0,P31,simple
head,optimistic,adjusted_geometric_mean_rank_index,0.30015508777578137,0,P31,simple
tail,optimistic,adjusted_geometric_mean_rank_index,0.9997728369107094,0,P31,simple
both,optimistic,adjusted_geometric_mean_rank_index,0.9873727708494265,0,P31,simple
head,realistic,adjusted_geometric_mean_rank_index,0.3001554950777814,0,P31,simple
tail,realistic,adjusted_geometric_mean_rank_index,0.9997728368264678,0,P31,simple
both,realistic,adjusted_geometric_mean_rank_index,0.9873727720032129,0,P31,simple
head,pessimistic,adjusted_geometric_mean_rank_index,0.3001548643852565,0,P31,simple
tail,pessimistic,adjusted_geometric_mean_rank_index,0.9997728367647984,0,P31,simple
both,pessimistic,adjusted_geometric_mean_rank_index,0.9873727647885453,0,P31,simple
head,optimistic,arithmetic_mean_rank,1900176.421978022,0,P31,simple
tail,optimistic,arithmetic_mean_rank,88719.26043956044,0,P31,simple
both,optimistic,arithmetic_mean_rank,994447.8412087912,0,P31,simple
head,realistic,arithmetic_mean_rank,1900176.75,0,P31,simple
tail,realistic,arithmetic_mean_rank,88719.296875,0,P31,simple
both,realistic,arithmetic_mean_rank,994448.0625,0,P31,simple
head,pessimistic,arithmetic_mean_rank,1900176.9945054946,0,P31,simple
tail,pessimistic,arithmetic_mean_rank,88719.33186813186,0,P31,simple
both,pessimistic,arithmetic_mean_rank,994448.1631868132,0,P31,simple
head,optimistic,median_absolute_deviation,1518440.4206324287,0,P31,simple
tail,optimistic,median_absolute_deviation,727.2163881769977,0,P31,simple
both,optimistic,median_absolute_deviation,321653.51650922734,0,P31,simple
head,realistic,median_absolute_deviation,1518440.4206324287,0,P31,simple
tail,realistic,median_absolute_deviation,727.2163881769977,0,P31,simple
both,realistic,median_absolute_deviation,321653.51650922734,0,P31,simple
head,pessimistic,median_absolute_deviation,1518440.4206324287,0,P31,simple
tail,pessimistic,median_absolute_deviation,727.2163881769977,0,P31,simple
both,pessimistic,median_absolute_deviation,321653.51650922734,0,P31,simple
head,optimistic,z_inverse_harmonic_mean_rank,0.17079260551417366,0,P31,simple
tail,optimistic,z_inverse_harmonic_mean_rank,7810.451465279138,0,P31,simple
both,optimistic,z_inverse_harmonic_mean_rank,5522.898514048575,0,P31,simple
head,realistic,z_inverse_harmonic_mean_rank,0.17079259128675753,0,P31,simple
tail,realistic,z_inverse_harmonic_mean_rank,7810.451566526889,0,P31,simple
both,realistic,z_inverse_harmonic_mean_rank,5522.898928588287,0,P31,simple
head,pessimistic,z_inverse_harmonic_mean_rank,0.17079258038630982,0,P31,simple
tail,pessimistic,z_inverse_harmonic_mean_rank,7810.4514626244945,0,P31,simple
both,pessimistic,z_inverse_harmonic_mean_rank,5522.898512153705,0,P31,simple
head,optimistic,z_arithmetic_mean_rank,11.037204687619877,0,P31,simple
tail,optimistic,z_arithmetic_mean_rank,50.32527759468744,0,P31,simple
both,optimistic,z_arithmetic_mean_rank,43.390284564551614,0,P31,simple
head,realistic,z_arithmetic_mean_rank,11.037197573275208,0,P31,simple
tail,realistic,z_arithmetic_mean_rank,50.325276804478975,0,P31,simple
both,realistic,z_arithmetic_mean_rank,43.39027777714341,0,P31,simple
head,pessimistic,z_arithmetic_mean_rank,11.037192270287974,0,P31,simple
tail,pessimistic,z_arithmetic_mean_rank,50.32527604555115,0,P31,simple
