Side,Type,Metric,Value,relation_id,relation_label,model
head,optimistic,z_arithmetic_mean_rank,29.942261864020246,0,P31,transe
tail,optimistic,z_arithmetic_mean_rank,52.194148413684154,0,P31,transe
both,optimistic,z_arithmetic_mean_rank,58.07947165130037,0,P31,transe
head,realistic,z_arithmetic_mean_rank,29.942238063141033,0,P31,transe
tail,realistic,z_arithmetic_mean_rank,52.19414836424958,0,P31,transe
both,realistic,z_arithmetic_mean_rank,58.0794573328604,0,P31,transe
head,pessimistic,z_arithmetic_mean_rank,29.942217295093844,0,P31,transe
tail,pessimistic,z_arithmetic_mean_rank,52.19414831835269,0,P31,transe
both,pessimistic,z_arithmetic_mean_rank,58.07944006941835,0,P31,transe
head,optimistic,harmonic_mean_rank,2898.065335101026,0,P31,transe
tail,optimistic,harmonic_mean_rank,3.028392681062711,0,P31,transe
both,optimistic,harmonic_mean_rank,6.050462807191821,0,P31,transe
head,realistic,harmonic_mean_rank,2898.065372114512,0,P31,transe
tail,realistic,harmonic_mean_rank,3.028392552022807,0,P31,transe
both,realistic,harmonic_mean_rank,6.050462668527306,0,P31,transe
head,pessimistic,harmonic_mean_rank,2898.0654316634764,0,P31,transe
tail,pessimistic,harmonic_mean_rank,3.0283926810629325,0,P31,transe
both,pessimistic,harmonic_mean_rank,6.050462807402708,0,P31,transe
head,optimistic,inverse_harmonic_mean_rank,0.00034505778316593414,0,P31,transe
tail,optimistic,inverse_harmonic_mean_rank,0.33020816826471927,0,P31,transe
both,optimistic,inverse_harmonic_mean_rank,0.1652766130239426,0,P31,transe
head,realistic,inverse_harmonic_mean_rank,0.0003450577787589282,0,P31,transe
tail,realistic,inverse_harmonic_mean_rank,0.3302081823348999,0,P31,transe
both,realistic,inverse_harmonic_mean_rank,0.16527661681175232,0,P31,transe
head,pessimistic,inverse_harmonic_mean_rank,0.0003450577716687385,0,P31,transe
tail,pessimistic,inverse_harmonic_mean_rank,0.3302081682646951,0,P31,transe
both,pessimistic,inverse_harmonic_mean_rank,0.16527661301818194,0,P31,transe
head,optimistic,adjusted_arithmetic_mean_rank_index,0.5730643223044941,0,P31,transe
tail,optimistic,adjusted_arithmetic_mean_rank_index,0.9989427120261521,0,P31,transe
both,optimistic,adjusted_arithmetic_mean_rank_index,0.7860070219426523,0,P31,transe
head,realistic,adjusted_arithmetic_mean_rank_index,0.5730638667799657,0,P31,transe
tail,realistic,adjusted_arithmetic_mean_rank_index,0.9989427110800249,0,P31,transe
both,realistic,adjusted_arithmetic_mean_rank_index,0.7860068281668818,0,P31,transe
head,pessimistic,adjusted_arithmetic_mean_rank_index,0.5730634693007457,0,P31,transe
tail,pessimistic,adjusted_arithmetic_mean_rank_index,0.9989427102016053,0,P31,transe
both,pessimistic,adjusted_arithmetic_mean_rank_index,0.7860065945355094,0,P31,transe
head,optimistic,z_geometric_mean_rank,24.56225455749573,0,P31,transe
